"district","hour","mode1","mode2","mode3"
"022","5pm",20.3715,59.0546,20.5739
"022","6pm",21.4621,54.7974,23.7404
"022","7pm",23.5041,51.7263,24.7696
"022","8pm",29.0571,45.7286,25.2144
"022","9pm",30.1787,45.0565,24.7648
"022","10pm",29.1247,43.6398,27.2355
"022","11pm",28.2068,45.8661,25.9271
"022","12pm",24.3377,47.5381,28.1242
"022","1am",23.5587,49.2172,27.2241
"022","2am",23.3344,49.7008,26.9648
"022","3am",23.3344,49.7008,26.9648
"023","4am",8.6466,63.42,27.9333
"023","5am",8.505,62.381,29.114
"023","6am",8.1538,61.8509,29.9954
"023","7am",9.7571,60.7403,29.5026
"023","8am",7.3952,63.6616,28.9432
"023","9am",7.9994,62.501,29.4995
"023","10am",7.2164,64.9622,27.8214
"023","11am",9.3053,59.8483,30.8464
"023","12am",9.8858,63.6318,26.4824
"023","1pm",9.0016,62.5542,28.4442
"023","2pm",11.5397,61.7666,26.6937
"023","3pm",11.4831,62.168,26.3488
"023","4pm",8.7142,64.5625,26.7232
"023","5pm",11.212,60.0133,28.7746
"023","6pm",10.2782,58.726,30.9958
"023","7pm",10.7097,62.6915,26.5988
"023","8pm",9.3654,62.6505,27.9841
"023","9pm",9.0528,63.8192,27.128
"023","10pm",8.8002,63.3288,27.871
"023","11pm",8.535,64.0276,27.4374
"023","12pm",8.4762,63.542,27.9818
"023","1am",8.4147,63.8065,27.7788
"023","2am",8.3541,63.3469,28.299
"023","3am",8.3854,63.2096,28.4049
"024","4am",14.9365,57.7569,27.3066
"024","5am",14.9824,57.627,27.3906
"024","6am",13.8089,57.9767,28.2144
"024","7am",14.6643,56.6898,28.6459
"024","8am",11.1541,57.8538,30.9921
"024","9am",10.6308,59.4972,29.872
"024","10am",8.6962,63.2019,28.1019
"024","11am",7.7233,64.2086,28.068
"024","12am",7.644,62.8249,29.5311
"024","1pm",7.6496,66.7068,25.6436
"024","2pm",8.5844,63.6952,27.7204
"024","3pm",6.7013,63.2081,30.0905
"024","4pm",4.0537,61.8494,34.097
"024","5pm",6.6652,58.3739,34.9608
"024","6pm",8.0601,57.2836,34.6563
"024","7pm",10.2994,56.9892,32.7114
"024","8pm",13.2791,55.1475,31.5734
"024","9pm",12.982,53.8868,33.1313
"024","10pm",13.0872,55.7489,31.1639
"024","11pm",12.6501,57.7113,29.6387
"024","12pm",13.8841,59.0951,27.0207
"024","1am",14.4896,59.0207,26.4897
"024","2am",14.3587,59.391,26.2503
"024","3am",14.3587,59.391,26.2503
"025","4am",13.2806,37.6821,49.0374
"025","5am",12.7457,38.5568,48.6975
"025","6am",14.9786,40.4537,44.5677
"025","7am",13.8332,43.1663,43.0004
"025","8am",19.9025,44.8254,35.272
"025","9am",23.2633,44.0098,32.7269
"025","10am",22.4884,45.7581,31.7535
"025","11am",23.8004,46.2348,29.9648
"025","12am",22.9484,42.8129,34.2388
"025","1pm",16.0369,41.6071,42.3559
"025","2pm",20.7997,40.827,38.3732
"025","3pm",17.8561,40.2136,41.9303
"025","4pm",17.9948,40.7287,41.2765
"025","5pm",17.5109,40.0362,42.4529
"025","6pm",17.7367,37.1719,45.0914
"025","7pm",18.5263,35.2849,46.1888
"025","8pm",17.2406,33.6891,49.0703
"025","9pm",16.3221,34.0698,49.608
"025","10pm",15.0199,35.0738,49.9063
"025","11pm",14.5983,34.0135,51.3882
"025","12pm",13.5143,35.8726,50.6131
"025","1am",13.7245,36.4331,49.8424
"025","2am",13.809,36.6575,49.5335
"025","3am",13.6147,37.5488,48.8365
"026","4am",24.203,40.8983,34.8987
"026","5am",23.7501,42.0042,34.2457
"026","6am",23.1735,42.3079,34.5187
"026","7am",19.7949,42.9237,37.2815
"026","8am",17.221,46.3359,36.4431
"026","9am",12.8247,55.9248,31.2504
"026","10am",11.5731,59.4939,28.933
"026","11am",5.9432,61.35,32.7068
"026","12am",8.3579,59.9562,31.6859
"026","1pm",14.2067,57.9547,27.8385
"026","2pm",19.7223,52.1352,28.1425
"026","3pm",19.423,56.154,24.423
"026","4pm",18.1121,59.0597,22.8283
"026","5pm",18.1634,54.6543,27.1822
"026","6pm",19.9006,48.3193,31.7802
"026","7pm",25.5994,43.4187,30.9819
"026","8pm",20.2564,45.1064,34.6372
"026","9pm",20.7852,46.7567,32.4581
"026","10pm",22.3725,46.8484,30.7791
"026","11pm",22.7385,45.6824,31.579
"026","12pm",25.0829,41.0172,33.8999
"026","1am",24.6527,42.0289,33.3184
"026","2am",24.6527,41.2804,34.0669
"026","3am",24.6527,41.2804,34.0669
"027","4am",12.4336,49.1004,38.466
"027","5am",12.4404,50.1023,37.4574
"027","6am",12.8256,49.7927,37.3818
"027","7am",13.0331,48.2689,38.6979
"027","8am",12.292,53.0915,34.6166
"027","9am",12.9613,50.1552,36.8835
"027","10am",14.4181,45.6809,39.9009
"027","11am",14.1941,44.8763,40.9296
"027","12am",10.2487,49.5441,40.2072
"027","1pm",10.703,49.3392,39.9578
"027","2pm",9.2415,48.3137,42.4448
"027","3pm",7.5551,50.7598,41.6851
"027","4pm",9.5797,48.9632,41.4572
"027","5pm",10.5833,47.1795,42.2372
"027","6pm",10.1314,49.2466,40.6219
"027","7pm",14.6729,46.6334,38.6937
"027","8pm",13.1969,48.8072,37.996
"027","9pm",14.1822,48.6366,37.1812
"027","10pm",12.9673,48.8648,38.1679
"027","11pm",12.815,50.0416,37.1434
"027","12pm",13.581,49.4667,36.9523
"027","1am",13.625,49.6271,36.7479
"027","2am",13.625,49.6271,36.7479
"027","3am",13.515,49.2262,37.2588
"028","4am",22.3292,44.0962,33.5746
"028","5am",22.3536,43.9121,33.7343
"028","6am",21.0716,45.9396,32.9888
"028","7am",16.5763,50.6566,32.7671
"028","8am",23.4801,48.9305,27.5894
"028","9am",21.2695,55.302,23.4286
"028","10am",22.0395,55.3013,22.6593
"028","11am",22.1719,55.1889,22.6393
"028","12am",22.393,52.4899,25.1171
